postcode,postcode_area,avg_download,max_download,county
IP100AA,IP,10.7,17,SUFFOLK
IP100AD,IP,4.2,6.2,SUFFOLK
IP100AE,IP,5.5,6.8,SUFFOLK
IP100AQ,IP,8.8,16.5,SUFFOLK
IP100AT,IP,4.8,7.2,SUFFOLK
IP100BB,IP,2.1,4.9,SUFFOLK
IP100BF,IP,23,80,SUFFOLK
IP100BJ,IP,12.9,36,SUFFOLK
IP100BP,IP,0.8,1.8,SUFFOLK
IP100BT,IP,5.1,8.4,SUFFOLK
IP100BU,IP,4.7,7.4,SUFFOLK
IP100BW,IP,10.7,35.6,SUFFOLK
IP100DB,IP,3.3,3.3,SUFFOLK
IP100DE,IP,16.1,24.2,SUFFOLK
IP100DF,IP,18,24.4,SUFFOLK
IP100DG,IP,16.7,20.7,SUFFOLK
IP100DN,IP,7.2,13.5,SUFFOLK
IP100DR,IP,19,79.7,SUFFOLK
IP100DU,IP,9.6,13.4,SUFFOLK
IP100DX,IP,11.5,16.2,SUFFOLK
IP100DY,IP,9.3,40,SUFFOLK
IP100DZ,IP,17.9,80,SUFFOLK
IP100EA,IP,17.1,55,SUFFOLK
IP100EE,IP,18.7,41.4,SUFFOLK
IP100EG,IP,22.6,40.6,SUFFOLK
IP100EH,IP,25.2,38.4,SUFFOLK
IP100EJ,IP,34.5,46.2,SUFFOLK
IP100EQ,IP,28.4,43.9,SUFFOLK
IP100ER,IP,19.2,27.1,SUFFOLK
IP100ES,IP,16.3,18.9,SUFFOLK
IP100ET,IP,9.6,74,SUFFOLK
IP100EU,IP,40.2,80,SUFFOLK
IP100EW,IP,24.1,35,SUFFOLK
IP100FH,IP,13.9,17.3,SUFFOLK
IP100FJ,IP,12.4,40,SUFFOLK
IP100FL,IP,44.9,71.1,SUFFOLK
IP100GA,IP,50.1,79.9,SUFFOLK
IP100GB,IP,45.2,66.7,SUFFOLK
IP100GQ,IP,14.8,22,SUFFOLK
IP100HD,IP,40,40,SUFFOLK
IP100HE,IP,29,68.8,SUFFOLK
IP100HF,IP,38.8,80,SUFFOLK
IP100HG,IP,57.9,79.9,SUFFOLK
IP100HQ,IP,40.5,62.5,SUFFOLK
IP100HS,IP,56.7,80,SUFFOLK
IP100HX,IP,61.5,80,SUFFOLK
IP100JQ,IP,5.4,7.2,SUFFOLK
IP100JU,IP,31.6,75.7,SUFFOLK
IP100JX,IP,33.5,80,SUFFOLK
IP100LE,IP,5.7,7.4,SUFFOLK
IP100LF,IP,7.1,18.5,SUFFOLK
IP100LG,IP,6.2,18.6,SUFFOLK
IP100LN,IP,2.1,3.2,SUFFOLK
IP100LQ,IP,10,55,SUFFOLK
IP100LY,IP,7.6,11.4,SUFFOLK
IP100LZ,IP,4.5,8.3,SUFFOLK
IP100NA,IP,4.3,5.4,SUFFOLK
IP100NJ,IP,54,80,SUFFOLK
IP100NN,IP,42.8,79.9,SUFFOLK
IP100NP,IP,42.5,76.3,SUFFOLK
IP100NQ,IP,52.6,71.6,SUFFOLK
IP100NS,IP,30.1,52.6,SUFFOLK
IP100NW,IP,43.2,79.9,SUFFOLK
IP100NX,IP,48.9,80,SUFFOLK
IP100PA,IP,62.9,79.9,SUFFOLK
IP100PB,IP,45.1,79.1,SUFFOLK
IP100PD,IP,30.8,79.9,SUFFOLK
IP100PE,IP,29.1,47.4,SUFFOLK
IP100PF,IP,33.5,68.5,SUFFOLK
IP100PN,IP,26.1,63.9,SUFFOLK
IP100PP,IP,41.4,77.1,SUFFOLK
IP100PS,IP,47.9,57.7,SUFFOLK
IP100PT,IP,43.7,58.3,SUFFOLK
IP100PX,IP,25.9,35.5,SUFFOLK
IP100PY,IP,32.8,79.9,SUFFOLK
IP100PZ,IP,20.6,37.8,SUFFOLK
IP100QA,IP,33,52.6,SUFFOLK
IP100QB,IP,44.6,73.4,SUFFOLK
IP100QH,IP,38,58.6,SUFFOLK
IP100QJ,IP,39.8,58.9,SUFFOLK
IP100QN,IP,27.4,54.9,SUFFOLK
IP100QP,IP,54.2,79.9,SUFFOLK
IP100QR,IP,52.3,76.3,SUFFOLK
IP100QT,IP,65.3,79.9,SUFFOLK
IP100QU,IP,30.4,69.7,SUFFOLK
IP100QW,IP,25.2,66.9,SUFFOLK
IP100QY,IP,19.8,76,SUFFOLK
IP100RA,IP,7.4,12.7,SUFFOLK
IP100RE,IP,41,77.4,SUFFOLK
IP110AB,IP,61.6,300,SUFFOLK
IP110AD,IP,59.9,59.9,SUFFOLK
IP110FA,IP,65.6,200,SUFFOLK
IP110FB,IP,126.3,200,SUFFOLK
IP110FE,IP,42.5,300,SUFFOLK
IP110FF,IP,55.4,150,SUFFOLK
IP110GA,IP,48.4,100,SUFFOLK
IP110QA,IP,56.5,70,SUFFOLK
IP110QH,IP,87.3,300,SUFFOLK
IP110QJ,IP,77.8,200,SUFFOLK
IP110QL,IP,15.5,57.5,SUFFOLK
IP110QX,IP,100.2,200,SUFFOLK
IP110RB,IP,12.1,55,SUFFOLK
IP110RD,IP,101.4,200,SUFFOLK
IP110RE,IP,47.5,71.7,SUFFOLK
IP110RG,IP,55.2,200,SUFFOLK
IP110RH,IP,73.9,200,SUFFOLK
IP110RJ,IP,83.3,200,SUFFOLK
IP110RL,IP,89.7,200,SUFFOLK
IP110RN,IP,86,200,SUFFOLK
IP110RP,IP,81.6,200,SUFFOLK
IP110RQ,IP,101.7,200,SUFFOLK
IP110RR,IP,80.4,200,SUFFOLK
IP110RT,IP,40.2,106.3,SUFFOLK
IP110RU,IP,57.8,200,SUFFOLK
IP110RW,IP,72,200,SUFFOLK
IP110RX,IP,70.5,200,SUFFOLK
IP110RZ,IP,18.6,78.2,SUFFOLK
IP110SA,IP,14.9,20.3,SUFFOLK
IP110SE,IP,8.1,19.5,SUFFOLK
IP110SG,IP,51.8,200,SUFFOLK
IP110SL,IP,14.3,80,SUFFOLK
IP110SN,IP,63.1,200,SUFFOLK
IP110SQ,IP,5.9,10,SUFFOLK
IP110SR,IP,24.3,50,SUFFOLK
IP110SS,IP,46.9,106.3,SUFFOLK
IP110ST,IP,62.9,106.3,SUFFOLK
IP110SU,IP,96.2,200,SUFFOLK
IP110SW,IP,12.9,37.4,SUFFOLK
IP110SX,IP,91.7,300,SUFFOLK
IP110SZ,IP,68.8,150,SUFFOLK
IP110TA,IP,46.6,200,SUFFOLK
IP110TB,IP,76.3,200,SUFFOLK
IP110TD,IP,39.6,70,SUFFOLK
IP110TE,IP,81.9,200,SUFFOLK
IP110TF,IP,45.8,200,SUFFOLK
IP110TG,IP,64.4,200,SUFFOLK
IP110TH,IP,48.7,200,SUFFOLK
IP110TJ,IP,61.9,200,SUFFOLK
IP110TN,IP,60.6,200,SUFFOLK
IP110TP,IP,64.8,200,SUFFOLK
IP110TQ,IP,69.6,200,SUFFOLK
IP110TR,IP,75.6,200,SUFFOLK
IP110TS,IP,97.5,200,SUFFOLK
IP110TT,IP,82.7,300,SUFFOLK
IP110TW,IP,46,100,SUFFOLK
IP110TX,IP,69.5,200,SUFFOLK
IP110TY,IP,61.3,300,SUFFOLK
IP110TZ,IP,49.7,200,SUFFOLK
IP110UA,IP,58.2,200,SUFFOLK
IP110UB,IP,41.2,100,SUFFOLK
IP110UD,IP,21.4,52.9,SUFFOLK
IP110UF,IP,80.1,200,SUFFOLK
IP110UH,IP,74.6,200,SUFFOLK
IP110UJ,IP,49.5,200,SUFFOLK
IP110UL,IP,76.6,200,SUFFOLK
IP110UN,IP,87.9,200,SUFFOLK
IP110UP,IP,53.7,200,SUFFOLK
IP110UQ,IP,76.4,300,SUFFOLK
IP110UR,IP,150.3,200,SUFFOLK
IP110UU,IP,56.7,200,SUFFOLK
IP110UX,IP,80.3,200,SUFFOLK
IP110UY,IP,67.8,200,SUFFOLK
IP110UZ,IP,64.7,200,SUFFOLK
IP110XA,IP,88.5,200,SUFFOLK
IP110XB,IP,107.7,200,SUFFOLK
IP110XE,IP,66.4,200,SUFFOLK
IP110XF,IP,49.7,200,SUFFOLK
IP110XG,IP,77.1,300,SUFFOLK
IP110XH,IP,63.8,200,SUFFOLK
IP110XJ,IP,89.5,200,SUFFOLK
IP110XL,IP,70.1,200,SUFFOLK
IP110XN,IP,63.1,200,SUFFOLK
IP110XQ,IP,84.7,200,SUFFOLK
IP110XR,IP,70.3,300,SUFFOLK
IP110XS,IP,89.1,200,SUFFOLK
IP110XT,IP,14,35,SUFFOLK
IP110XU,IP,38.6,150,SUFFOLK
IP110XW,IP,71.4,200,SUFFOLK
IP110XX,IP,110.6,200,SUFFOLK
IP110XY,IP,56.2,200,SUFFOLK
IP110XZ,IP,71.9,200,SUFFOLK
IP110YA,IP,39,100,SUFFOLK
IP110YD,IP,74.2,200,SUFFOLK
IP110YE,IP,113,200,SUFFOLK
IP110YF,IP,72.5,200,SUFFOLK
IP110YG,IP,26.6,70,SUFFOLK
IP110YH,IP,66,150,SUFFOLK
IP110YJ,IP,94.7,200,SUFFOLK
IP110YL,IP,84.6,200,SUFFOLK
IP110YN,IP,71.3,200,SUFFOLK
IP110YP,IP,62.2,100,SUFFOLK
IP110YQ,IP,59.1,200,SUFFOLK
IP110YR,IP,64.3,200,SUFFOLK
IP110YS,IP,87.8,200,SUFFOLK
IP110YT,IP,59,150,SUFFOLK
IP110YU,IP,31.9,60,SUFFOLK
IP110YW,IP,91.1,200,SUFFOLK
IP110YX,IP,81.3,200,SUFFOLK
IP110YZ,IP,73.7,200,SUFFOLK
IP112AA,IP,27.9,58.3,SUFFOLK
IP112AD,IP,28.9,54.7,SUFFOLK
IP112AF,IP,38.4,80,SUFFOLK
IP112AH,IP,20.6,40,SUFFOLK
IP112AJ,IP,26.4,36.8,SUFFOLK
IP112AN,IP,35.1,67,SUFFOLK
IP112AQ,IP,31,55,SUFFOLK
IP112AR,IP,30.3,67.1,SUFFOLK
IP112AS,IP,30.6,61.6,SUFFOLK
IP112AT,IP,22.9,56.2,SUFFOLK
IP112AU,IP,30.1,80,SUFFOLK
IP112AW,IP,17.7,50.9,SUFFOLK
IP112AX,IP,34.1,77.6,SUFFOLK
IP112AZ,IP,31.1,80,SUFFOLK
IP112BA,IP,43.4,80,SUFFOLK
IP112BB,IP,41.5,72.1,SUFFOLK
IP112BD,IP,45.4,80,SUFFOLK
IP112BE,IP,34.1,80,SUFFOLK
IP112BG,IP,52.1,80,SUFFOLK
IP112BH,IP,38.5,73.5,SUFFOLK
IP112BL,IP,41.6,76,SUFFOLK
IP112BN,IP,18.6,40,SUFFOLK
IP112BP,IP,13,15.4,SUFFOLK
IP112BQ,IP,34.1,80,SUFFOLK
IP112BW,IP,32.2,62.1,SUFFOLK
IP112BX,IP,28.1,41.9,SUFFOLK
IP112BZ,IP,23.7,71.5,SUFFOLK
IP112DA,IP,15.9,40,SUFFOLK
IP112DD,IP,22.4,75.6,SUFFOLK
IP112DE,IP,36.3,71.3,SUFFOLK
IP112DG,IP,35.4,67.4,SUFFOLK
IP112DJ,IP,26.5,49.7,SUFFOLK
IP112DQ,IP,25.6,46.4,SUFFOLK
