price,transfer_date,postcode,property_type,town_city,district,county
320000,2024-03-20T00:00:00Z,NR9 5FP,D,NORWICH,SOUTH NORFOLK,NORFOLK
291000,2024-04-26T00:00:00Z,NR20 3UF,D,DEREHAM,BRECKLAND,NORFOLK
337250,2024-03-28T00:00:00Z,NR18 0SQ,D,WYMONDHAM,SOUTH NORFOLK,NORFOLK
270000,2024-04-29T00:00:00Z,NR14 7FF,T,NORWICH,SOUTH NORFOLK,NORFOLK
337500,2024-04-10T00:00:00Z,NR6 7GN,D,NORWICH,BROADLAND,NORFOLK
354995,2024-03-28T00:00:00Z,NR4 7XS,S,NORWICH,SOUTH NORFOLK,NORFOLK
450000,2024-04-05T00:00:00Z,NR5 0WJ,D,NORWICH,SOUTH NORFOLK,NORFOLK
225000,2024-03-28T00:00:00Z,NR20 3UJ,S,DEREHAM,BRECKLAND,NORFOLK
455000,2024-03-25T00:00:00Z,NR13 5RZ,D,NORWICH,BROADLAND,NORFOLK
335000,2024-04-02T00:00:00Z,NR4 7XE,D,NORWICH,SOUTH NORFOLK,NORFOLK
427995,2024-03-28T00:00:00Z,NR13 6UU,D,NORWICH,BROADLAND,NORFOLK
251746,2024-03-28T00:00:00Z,IP25 6WW,S,THETFORD,BRECKLAND,NORFOLK
430000,2024-03-28T00:00:00Z,NR4 7WU,D,NORWICH,SOUTH NORFOLK,NORFOLK
155000,2024-04-19T00:00:00Z,PE14 7DX,D,WISBECH,KING'S LYNN AND WEST NORFOLK,NORFOLK
245000,2024-04-19T00:00:00Z,NR19 1PT,S,DEREHAM,BRECKLAND,NORFOLK
308995,2024-03-28T00:00:00Z,PE37 8PG,D,SWAFFHAM,BRECKLAND,NORFOLK
260296,2024-03-28T00:00:00Z,IP25 6WW,S,THETFORD,BRECKLAND,NORFOLK
435000,2024-03-08T00:00:00Z,NR4 6UT,D,NORWICH,SOUTH NORFOLK,NORFOLK
160000,2024-04-12T00:00:00Z,PE14 7DX,D,WISBECH,KING'S LYNN AND WEST NORFOLK,NORFOLK
407000,2024-03-18T00:00:00Z,NR17 1TS,D,ATTLEBOROUGH,BRECKLAND,NORFOLK
462500,2024-04-04T00:00:00Z,NR8 7AJ,S,NORWICH,BROADLAND,NORFOLK
335000,2024-04-26T00:00:00Z,NR17 1FY,D,ATTLEBOROUGH,BRECKLAND,NORFOLK
350000,2024-05-03T00:00:00Z,NR16 2FP,D,NORWICH,BRECKLAND,NORFOLK
430000,2024-04-04T00:00:00Z,NR8 6DE,D,NORWICH,BROADLAND,NORFOLK
279950,2024-03-01T00:00:00Z,NR17 2FX,S,ATTLEBOROUGH,BRECKLAND,NORFOLK
385000,2024-04-19T00:00:00Z,PE37 8NG,D,SWAFFHAM,BRECKLAND,NORFOLK
274950,2024-02-29T00:00:00Z,NR17 2FU,S,ATTLEBOROUGH,BRECKLAND,NORFOLK
210000,2024-04-19T00:00:00Z,NR4 6TT,S,NORWICH,SOUTH NORFOLK,NORFOLK
399995,2024-04-19T00:00:00Z,NR14 7FL,D,NORWICH,SOUTH NORFOLK,NORFOLK
256496,2024-02-23T00:00:00Z,IP25 6WW,S,THETFORD,BRECKLAND,NORFOLK
470000,2024-05-10T00:00:00Z,NR13 5SA,D,NORWICH,BROADLAND,NORFOLK
252000,2024-04-26T00:00:00Z,NR9 5FN,S,NORWICH,SOUTH NORFOLK,NORFOLK
265000,2024-05-10T00:00:00Z,PE37 8JQ,S,SWAFFHAM,BRECKLAND,NORFOLK
325000,2024-05-10T00:00:00Z,IP25 5AF,D,THETFORD,BRECKLAND,NORFOLK
168500,2024-09-27T00:00:00Z,IP27 0UP,T,BRANDON,WEST SUFFOLK,SUFFOLK
185000,2024-06-27T00:00:00Z,IP16 4DD,T,LEISTON,EAST SUFFOLK,SUFFOLK
187500,2024-09-18T00:00:00Z,IP17 1BY,T,SAXMUNDHAM,EAST SUFFOLK,SUFFOLK
232000,2024-09-19T00:00:00Z,CB9 7SU,T,HAVERHILL,WEST SUFFOLK,SUFFOLK
250000,2024-07-12T00:00:00Z,IP23 7LQ,T,EYE,MID SUFFOLK,SUFFOLK
149000,2024-07-19T00:00:00Z,NR32 3LN,T,LOWESTOFT,EAST SUFFOLK,SUFFOLK
397500,2024-10-17T00:00:00Z,IP5 2FL,D,IPSWICH,EAST SUFFOLK,SUFFOLK
820000,2024-10-11T00:00:00Z,IP17 3AX,D,SAXMUNDHAM,EAST SUFFOLK,SUFFOLK
315000,2024-08-02T00:00:00Z,CO6 5BE,D,COLCHESTER,BABERGH,SUFFOLK
775000,2024-06-26T00:00:00Z,IP13 6LT,D,WOODBRIDGE,EAST SUFFOLK,SUFFOLK
112000,2024-10-04T00:00:00Z,NR32 2NA,T,LOWESTOFT,EAST SUFFOLK,SUFFOLK
228000,2024-10-10T00:00:00Z,IP33 3NU,T,BURY ST EDMUNDS,WEST SUFFOLK,SUFFOLK
290000,2024-06-10T00:00:00Z,CB9 8QF,T,HAVERHILL,WEST SUFFOLK,SUFFOLK
400000,2024-05-08T00:00:00Z,IP33 3LD,D,BURY ST EDMUNDS,WEST SUFFOLK,SUFFOLK
260000,2024-06-21T00:00:00Z,IP28 6SA,S,BURY ST EDMUNDS,WEST SUFFOLK,SUFFOLK
238000,2024-10-23T00:00:00Z,IP5 2AE,T,IPSWICH,EAST SUFFOLK,SUFFOLK
