URN,town,county,year,att8_score
138758,Norwich,NORFOLK,2021-2022,47.9
135066,Norwich,NORFOLK,2021-2022,7.1
145089,Wells-next-the-Sea,NORFOLK,2021-2022,41.7
121250,Norwich,NORFOLK,2021-2022,17.1
146059,Harleston,NORFOLK,2021-2022,47.3
140534,Attleborough,NORFOLK,2021-2022,47.3
121229,NA,NORFOLK,2021-2022,4.3
121164,Norwich,NORFOLK,2021-2022,52.4
146063,Norwich,NORFOLK,2021-2022,52.5
141331,Great Yarmouth,NORFOLK,2021-2022,46.4
135904,Norwich,NORFOLK,2021-2022,35.4
141269,Norwich,NORFOLK,2021-2022,48.6
140364,Great Yarmouth,NORFOLK,2021-2022,38.4
137431,Cromer,NORFOLK,2021-2022,52.4
144316,Dereham,NORFOLK,2021-2022,52.8
137092,Diss,NORFOLK,2021-2022,48.3
145196,Downham Market,NORFOLK,2021-2022,46.9
139572,Fakenham,NORFOLK,2021-2022,41.9
145501,Great Yarmouth,NORFOLK,2021-2022,49.9
145776,Norwich,NORFOLK,2021-2022,56.4
135859,Norwich,NORFOLK,2021-2022,4
142883,Great Yarmouth,NORFOLK,2021-2022,44.9
121222,NA,NORFOLK,2021-2022,37
138039,Norwich,NORFOLK,2021-2022,42.5
140188,Norwich,NORFOLK,2021-2022,59.3
142059,Norwich,NORFOLK,2021-2022,34.6
139311,Norwich,NORFOLK,2021-2022,46.8
139058,Thetford,NORFOLK,2021-2022,40.6
134440,Norfolk,NORFOLK,2021-2022,3.6
140815,Norwich,NORFOLK,2021-2022,49.9
148826,King's Lynn,NORFOLK,2021-2022,39.3
136202,King's Lynn,NORFOLK,2021-2022,39.6
121224,Norfolk,NORFOLK,2021-2022,44
146237,King's Lynn,NORFOLK,2021-2022,52.4
144018,Norwich,NORFOLK,2021-2022,55.2
137541,Great Yarmouth,NORFOLK,2021-2022,49.7
142396,Wisbech,NORFOLK,2021-2022,47.2
138918,Swaffham,NORFOLK,2021-2022,41.9
147505,North Walsham,NORFOLK,2021-2022,51.1
141268,Dereham,NORFOLK,2021-2022,44.9
121241,NA,NORFOLK,2021-2022,24.3
121242,Norwich,NORFOLK,2021-2022,12.9
137913,Norwich,NORFOLK,2021-2022,61
146144,Attleborough,NORFOLK,2021-2022,47.5
134455,Swaffham,NORFOLK,2021-2022,57.9
135650,Norwich,NORFOLK,2021-2022,42
136187,Gorleston,NORFOLK,2021-2022,50
136186,Norwich,NORFOLK,2021-2022,46.4
135250,Norwich,NORFOLK,2021-2022,26.9
138829,Norwich,NORFOLK,2021-2022,46.1
140557,King's Lynn,NORFOLK,2021-2022,46.6
142058,Norwich,NORFOLK,2021-2022,40
121246,Thetford,NORFOLK,2021-2022,4
137621,Sheringham,NORFOLK,2021-2022,48.5
143520,Hunstanton,NORFOLK,2021-2022,41.1
136515,King's Lynn,NORFOLK,2021-2022,47
144359,Norwich,NORFOLK,2021-2022,43.5
